2-gram,*/*,2/*,3/*,4/*,5/*,6/*,7/*,8/*,9/*,2/1:2,3/1:2,3/2:3,4/1:2,4/2:3,4/3:4,5/1:2,5/2:3,5/3:4,5/4:5,6/1:2,6/2:3,6/3:4,6/4:5,6/5:6,7/1:2,7/2:3,7/3:4,7/4:5,7/5:6,7/6:7,8/1:2,8/2:3,8/3:4,8/4:5,8/5:6,8/6:7,8/7:8,9/1:2,9/2:3,9/3:4,9/4:5,9/5:6,9/6:7,9/7:8,9/8:9,*/1:2,*/2:3,*/3:4,*/4:5,*/5:6,*/6:7,*/7:8,*/8:9,*/9:10,*/-9:-8,*/-8:-7,*/-7:-6,*/-6:-5,*/-5:-4,*/-4:-3,*/-3:-2,*/-2:-1
NG,26871805512,4958063,29310325,1000707556,2802898293,4070479617,6042863361,4633979994,3813272224,4958063,3294737,26015589,3650424,5763634,991293500,687618,127694670,273551094,2400964914,1193144,109565214,637832964,628105934,2693782365,1,469761621,273722765,321274998,173251184,4804852797,1,46773568,365807155,120233201,256762314,439608592,3404795169,1,51836875,137600756,22210061,110419120,109222271,170189658,3211793489,13783982,945317495,2828932848,3522989084,3394158129,5692776069,3659926260,3325000537,1825900797,91421738,223092616,279297366,963977045,851894228,1637710120,1811551168,20874734197
SE,26282488563,30523167,1952013639,2592331549,5026948065,3839988854,4783018903,3135032628,2508836715,30523167,1409813458,542200182,1042063929,624022358,926245264,675778542,30967450,643903654,3676298422,1416239071,85748293,572783699,1122486605,642731190,1352351889,15996267,314489869,946144949,691051291,1462984643,818400984,2705789,607179804,188673705,119511919,677029978,721530455,586369318,1752014,277150196,369038223,13107429,120931893,941560838,198926811,7674775085,1314872543,3699602594,6881326239,1755082919,2571202586,1695890731,384140891,220865324,1064320998,1069186961,1913061069,2763504262,1371489624,2859013059,6368273123,8369347697
HA,26103411209,17285955,4317107290,14204506111,1329461653,1525468288,1756658783,1163777927,733826316,17285955,4307508938,9598353,3702613036,10497766650,4126427,403967791,882716320,16001297,26776248,658901765,728431605,52611505,55815794,29707623,320327318,971980928,73371462,325293545,60946971,4738564,280764724,347074791,151608582,161411034,118718683,100706138,3493981,122427416,244043525,80548525,126391649,114243671,30391114,14552641,1227782,9900759289,14100984016,489815306,870340224,410166955,177560806,71384269,41220110,24963539,339794949,601196126,898558146,1981655205,1529038172,5151618973,15090830057,98720354
AS,24561944199,5700645259,7389850694,1859332545,2346123340,1588427921,1557132543,1408871429,944813621,5700645259,118982558,7270868137,65001285,1731155844,63175418,282924777,926873218,806450716,329874632,293906342,631246186,358428218,139372166,165475013,223862873,467225656,436761742,100331444,202723718,126227115,198294595,185867286,226775559,249381665,139796581,330731649,78024100,164412549,90934266,127885910,108581132,71918185,268783446,75338986,36959154,7620135117,11545573370,2275728319,1088966860,682685012,933070003,232717251,129456494,28422817,431895664,459129492,696032171,1203561702,1865715647,1895234796,3458525801,13791305284
OU,24531132242,10653916,4272910156,1379522987,6300222665,3553583991,3950718894,1686720244,1419972182,10653916,1925494039,2347416118,18724601,1309797730,51000658,94232071,4738435275,1464417957,3137365,98967317,1101075879,2059007139,293211962,1321698,226163428,1176979587,650509565,871326096,1023785769,1954454,84388438,488242231,239401153,146979593,405711884,321367260,629691,70149708,378589739,82144080,239197186,173192042,31440995,444743637,514802,2564517638,11860369005,4596082032,1862959907,1793591371,449385181,703835162,426409984,152438204,288650234,575966520,1139223831,1881489110,2406061175,8260929301,7358285337,2416977628
IO,23542263266,4641681,45781842,114203784,387922346,1053607061,1895464067,3074428510,3662304272,4641681,24118209,21663634,29623772,52854746,31725268,5871613,36773714,218471533,126805489,9109385,27513129,48282252,940940222,27762077,2685333,101965799,5852636,741924963,1007533676,35501665,1550821,81796490,28790868,374267310,421478107,2146295706,20249214,294508,46442672,6174932,147495780,167482537,1002319164,2278243841,13850845,83433286,456757897,357905804,2511890330,1872666989,3844425652,3428359479,4122223236,3390525289,130136418,364252501,399055079,700761442,1593641437,5029708093,14933384417,285946277
LE,23382173641,75050931,473044335,1860032621,3479658833,4969286666,3647853819,3156726354,2361956489,75050931,462933298,10111038,915474141,71145092,873413390,877422383,396899118,584534600,1620802735,680926092,174956075,267963202,1304638126,2540803175,602255353,378869465,191120271,450502773,1152291921,872814041,189769396,485161731,261488527,182415817,502093254,662485106,873312529,40396715,191847575,305199487,205291032,365917299,243979410,392837751,616487227,4043542194,1913017703,2675302135,4195241816,5006351108,1957527939,1478967146,872882909,634833161,254127174,673799830,1819353737,1874385055,1898382455,2992153549,4890609170,8595707336
VE,23270129574,14231386,36002034,6418853754,3310701584,1802759921,2732125594,2611229532,1776532777,14231386,13701742,22300293,815221003,1618904109,3984728644,93679080,476432109,1905179129,835411269,191597584,133414316,340749227,807901795,329097003,185992341,254596260,644161418,233017974,892713862,521643744,154684876,208485389,568839352,146289025,79483615,1052062168,401385113,66807195,76147152,440215392,190567887,59097091,96462153,206926693,640309221,1640092151,3068792709,9169550920,2872981402,1416719319,1976581591,746271560,1090150320,485933707,849319994,911765805,1420244463,1413961857,1175608439,2340730696,6934202773,7786356891
CO,22384167778,83487331,91535499,1049086573,1922854216,2435977036,3395471837,2916096084,3172220326,83487331,87238705,4296795,1023867493,10646453,14572629,1759238385,107014438,40719225,15882171,1455696632,49386127,820408169,42046067,68440045,2672555597,103410884,432871713,135963573,18962820,31707255,2224994808,273461643,253244936,86345176,55002666,17361912,5684949,2457238999,62252367,451096510,123894167,13765512,30684979,3269308,30018491,17720707393,662214579,2902669373,603094196,215106821,152749337,65402094,43181509,13377513,2818478478,2601721261,3524047321,1991826831,2374341292,2203150806,223226763,254733047
ME,22360109326,819570655,596504042,4744200953,1873407027,2552426153,2135425897,2347059318,2505303250,819570655,588558813,7945230,419576375,17847919,4306776661,569046755,28330342,1052351641,223678292,771617199,23925770,259421323,659548206,837913659,924309134,196650138,175607528,240942609,400305016,197611477,470577365,363291861,398510905,321324894,407020247,257341920,128992132,324219917,122946110,559495500,116435565,241329197,746248245,346059775,48568948,5325149690,781927444,6985984570,1806448042,2030348537,1658957193,2200773951,1167712576,187556947,614029040,724979760,2117251532,1867584931,2060587179,4414502594,3448675399,6598626285
